date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
1997-10-09,6.3236,,,,,
1997-10-10,6.6158,,,,,
1997-10-13,6.4697,,,,,
1997-10-14,6.204,,,,,
1997-10-15,6.0313,,,,,
1997-10-16,5.8453,,,,,
1997-10-17,5.3405,,,,,
1997-10-20,4.6762,,,,,
1997-10-21,5.3405,,,,,
1997-10-22,4.7161,,,,,
1997-10-23,4.4371,,,,,
1997-10-24,4.198,,,,,
1997-10-27,3.64,,,,,
1997-10-28,4.4637,,,,,
1997-10-29,4.0519,,,,,
1997-10-30,3.9456,,,,,
1997-10-31,4.198,,,,,
1997-11-03,4.8224,,,,,
1997-11-04,4.8224,,,,,
1997-11-05,5.2076,,,,,
1997-11-06,5.1811,,,,,
1997-11-07,5.0615,,,,,
1997-11-10,5.0881,,,,,
1997-11-11,4.9818,,,,,
1997-11-12,4.7028,,,,,
1997-11-13,4.663,,,,,
1997-11-14,4.663,,,,,
1997-11-17,4.9951,,,,,
1997-11-18,4.6762,,,,,
1997-11-19,4.5434,,,,,
1997-11-20,4.4371,,,,,
1997-11-21,4.663,,,,,
1997-11-24,4.5567,,,,,
1997-11-25,4.6762,,,,,
1997-11-26,4.5965,,,,,
1997-11-28,4.6762,,,,,
1997-12-01,4.4637,,,,,
1997-12-02,4.4637,,,,,
1997-12-03,4.4903,,,,,
1997-12-04,4.6762,,,,,
1997-12-05,4.6895,,,,,
1997-12-08,4.8888,,,,,
1997-12-09,4.6762,,,,,
1997-12-10,4.477,,,,,
1997-12-11,4.2777,,,,,
1997-12-12,4.2379,,,,,
1997-12-15,3.8792,,,,,
1997-12-16,3.9987,,,,,
1997-12-17,3.8659,,,,,
1997-12-18,3.7197,,,,,
1997-12-19,3.9456,,,,,
1997-12-22,3.9057,,,,,
1997-12-23,3.7862,,,,,
1997-12-24,3.7729,,,,,
1997-12-26,3.826,,,,,
1997-12-29,3.8526,,,,,
1997-12-30,3.9854,,,,,
1997-12-31,3.8659,,,,,
1998-01-02,3.919,,,,,
1998-01-05,3.9057,,,,,
1998-01-06,3.826,,,,,
1998-01-07,3.454,,,,,
1998-01-08,3.2946,,,,,
1998-01-09,3.0954,,,,,
1998-01-12,3.2016,,,,,
1998-01-13,3.5736,,,,,
1998-01-14,3.64,,,,,
1998-01-15,3.5869,,,,,
1998-01-16,3.7065,,,,,
1998-01-20,3.919,,,,,
1998-01-21,3.9987,,,,,
1998-01-22,4.105,,,,,
1998-01-23,4.198,,,,,
1998-01-26,4.5168,,,,,
1998-01-27,4.6497,,,,,
1998-01-28,4.8888,,,,,
1998-01-29,4.6762,,,,,
1998-01-30,5.0482,,,,,
1998-02-02,5.2076,,,,,
1998-02-03,5.553,,,,,
1998-02-04,5.2475,,,,,
1998-02-05,5.2874,,,,,
1998-02-06,5.2608,,,,,
1998-02-09,5.0748,,,,,
1998-02-10,5.2342,,,,,
1998-02-11,5.3936,,,,,
1998-02-12,5.6328,,,,,
1998-02-13,5.4999,,,,,
1998-02-17,5.6992,,,,,
1998-02-18,5.7922,,,,,
1998-02-19,5.925,,,,,
1998-02-20,5.7656,,,,,
1998-02-23,5.6328,,,,,
1998-02-24,5.7523,,,,,
1998-02-25,6.1774,,,,,
1998-02-26,6.3236,,,,,
1998-02-27,6.0977,,,,,
1998-03-02,5.9914,,,,,
1998-03-03,5.9383,,,,,
1998-03-04,5.646,,,,,
1998-03-05,5.1279,,,,,
1998-03-06,5.6062,,,,,
1998-03-09,5.4468,,,,,
1998-03-10,5.5663,,,,,
1998-03-11,5.7922,,,,,
1998-03-12,5.7125,,,,,
1998-03-13,5.7125,,,,,
1998-03-16,5.6859,,,,,
1998-03-17,5.4601,,,,,
1998-03-18,5.3405,,,,,
1998-03-19,5.4733,,,,,
1998-03-20,5.4601,,,,,
1998-03-23,5.3139,,,,,
1998-03-24,5.4999,,,,,
1998-03-25,5.739,,,,,
1998-03-26,5.6992,,,,,
1998-03-27,5.6859,,,,,
1998-03-30,5.5929,,,,,
1998-03-31,5.4999,,,,,
1998-04-01,5.4601,,,,,
1998-04-02,5.4468,,,,,
1998-04-03,5.3936,,,,,
1998-04-06,5.3803,,,,,
1998-04-07,5.2076,,,,,
1998-04-08,5.2608,,,,,
1998-04-09,5.2209,,,,,
1998-04-13,4.9818,,,,,
1998-04-14,5.0748,,,,,
1998-04-15,5.1279,,,,,
1998-04-16,4.9685,,,,,
1998-04-17,4.8357,,,,,
1998-04-20,4.8091,,,,,
1998-04-21,4.9951,,,,,
1998-04-22,5.2741,,,,,
1998-04-23,5.1678,,,,,
1998-04-24,5.2741,,,,,
1998-04-27,5.0349,,,,,
1998-04-28,5.1944,,,,,
1998-04-29,5.1811,,,,,
1998-04-30,5.2209,,,,,
1998-05-01,5.1545,,,,,
1998-05-04,5.2209,,,,,
1998-05-05,5.1279,,,,,
1998-05-06,5.1412,,,,,
1998-05-07,5.1146,,,,,
1998-05-08,5.1146,,,,,
1998-05-11,5.1678,,,,,
1998-05-12,5.1014,,,,,
1998-05-13,5.1014,,,,,
1998-05-14,5.1146,,,,,
1998-05-15,5.0349,,,,,
1998-05-18,4.9021,,,,,
1998-05-19,4.849,,,,,
1998-05-20,4.8091,,,,,
1998-05-21,4.7825,,,,,
1998-05-22,4.8224,,,,,
1998-05-26,4.2511,,,,,
1998-05-27,4.0519,,,,,
1998-05-28,4.0519,,,,,
1998-05-29,4.012,,,,,
1998-06-01,3.7729,,,,,
1998-06-02,3.6666,,,,,
1998-06-03,3.7995,,,,,
1998-06-04,3.7463,,,,,
1998-06-05,3.8659,,,,,
1998-06-08,3.826,,,,,
1998-06-09,3.7197,,,,,
1998-06-10,3.5072,,,,,
1998-06-11,3.4408,,,,,
1998-06-12,3.4806,,,,,
1998-06-15,3.4673,,,,,
1998-06-16,3.6666,,,,,
1998-06-17,3.9589,,,,,
1998-06-18,3.919,,,,,
1998-06-19,3.9987,,,,,
1998-06-22,3.826,,,,,
1998-06-23,3.8792,,,,,
1998-06-24,3.8393,,,,,
1998-06-25,3.8393,,,,,
1998-06-26,3.919,,,,,
1998-06-29,3.6932,,,,,
1998-06-30,3.5869,,,,,
1998-07-01,3.6932,,,,,
1998-07-02,3.6267,,,,,
1998-07-06,3.5338,,,,,
1998-07-07,3.7197,,,,,
1998-07-08,3.8526,,,,,
1998-07-09,3.9323,,,,,
1998-07-10,3.733,,,,,
1998-07-13,3.5603,,,,,
1998-07-14,3.6135,,,,,
1998-07-15,3.7463,,,,,
1998-07-16,4.198,,,,,
1998-07-17,4.1316,,,,,
1998-07-20,4.1449,,,,,
1998-07-21,4.0519,,,,,
1998-07-22,4.012,,,,,
1998-07-23,3.8792,,,,,
1998-07-24,3.9987,,,,,
1998-07-27,3.9456,,,,,
1998-07-28,3.9057,,,,,
1998-07-29,3.9456,,,,,
1998-07-30,3.9854,,,,,
1998-07-31,3.9057,,,,,
1998-08-03,3.7065,,,,,
1998-08-04,3.733,,,,,
1998-08-05,3.7596,,,,,
1998-08-06,3.9057,,,,,
1998-08-07,3.9722,,,,,
1998-08-10,3.7729,,,,,
1998-08-11,3.6267,,,,,
1998-08-12,3.8526,,,,,
1998-08-13,3.8127,,,,,
1998-08-14,3.9722,,,,,
1998-08-17,3.9722,,,,,
1998-08-18,3.9722,,,,,
1998-08-19,3.9456,,,,,
1998-08-20,3.826,,,,,
1998-08-21,3.6932,,,,,
1998-08-24,3.5603,,,,,
1998-08-25,3.7197,,,,,
1998-08-26,3.5444,,,,,
1998-08-27,3.4288,,,,,
1998-08-28,3.4288,,,,,
1998-08-31,3.2747,,,,,
1998-09-01,3.1977,,,,,
1998-09-02,3.1784,,,,,
1998-09-03,3.1013,,,,,
1998-09-04,3.1206,,,,,
1998-09-08,3.4673,,,,,
1998-09-09,3.3903,,,,,
1998-09-10,3.3132,,,,,
1998-09-11,3.5636,,,,,
1998-09-14,3.66,,,,,
1998-09-15,3.6792,,,,,
1998-09-16,3.66,,,,,
1998-09-17,3.6792,,,,,
1998-09-18,3.6985,,,,,
1998-09-21,3.6985,,,,,
1998-09-22,3.6985,,,,,
1998-09-23,3.8719,,,,,
1998-09-24,3.7755,,,,,
1998-09-25,3.8719,,,,,
1998-09-28,3.9682,,,,,
1998-09-29,3.9296,,,,,
1998-09-30,3.7755,,,,,
1998-10-01,3.4095,,,,,
1998-10-02,3.1784,,,,,
1998-10-05,3.0821,,,,,
1998-10-06,3.3132,,,,,
1998-10-07,3.371,,,,,
1998-10-08,3.4095,,,,,
1998-10-09,3.7178,,,,,
1998-10-12,3.9104,,,,,
1998-10-13,3.7755,,,,,
1998-10-14,3.7178,,,,,
1998-10-15,3.8526,,,,,
1998-10-16,3.9296,,,,,
1998-10-19,3.8333,,,,,
1998-10-20,3.8719,,,,,
1998-10-21,3.7755,,,,,
1998-10-22,3.66,,,,,
